year,city,province_code,city_code,province,year_city,population,area,PopulationDensity,gdp,GDP_GrowthRate,Proportion_SecondaryIndustry,Proportion_ThirdIndustry,retailAssumption,gdp_percapita,X,inflator,gdp_nominal,gdp_real,city_type,sum,if_officialWechat,nightLight,clicksCount_city_gdpContent,likeCount_city_gdpContent,originalflag_city_gdpContent,Freq_city_gdpContent,clicksCount_city_gdpData,likeCount_city_gdpData,originalflag_city_gdpData,Freq_city_gdpData,clicksCount_city_gdpnoData,likeCount_city_gdpnoData,originalflag_city_gdpnoData,Freq_city_gdpnoData,iv_if_officialWechat,iv_clicksCount_city_gdpContent,iv_clicksCount_city_gdpData,iv_clicksCount_city_gdpnoData,leader_change,num_commentBoard,sum_num_admini,politeScore,gdp_ratio
2017,黑河市,230000,231100,黑龙江省,2017231100,161,69345,23.2172471,34.9527,3.7,30.49,65.67,1253451,1.5246852,8,1.2065545,34.9527,28.96901881,地级市,8928.409124,1,8928.409124,2152,37,0,42,430,5,0,8,1722,32,0,34,0.666666667,16757.58333,11017.58333,5740,0,7,201,-0.541000715,0.370037303
2017,山南市,540000,540500,西藏自治区,2017540500,35,79699,4.391523106,49.3693,10.2,23.37,74.38,507398,6.81959801,8,1.2065545,49.3693,40.91758806,地级市,4338.590488,1,4338.590488,5243,33,0,31,2162,22,0,11,3081,11,0,20,0.833333333,5603.166667,1992,3611.166667,1,25,2,-0.636493782,0.443155215
2017,昌都市,540000,540300,西藏自治区,2017540300,76,109817,6.920604278,56.3394,10,44.22,48.89,477400,3.891204251,8,1.2065545,56.3394,46.69445102,地级市,3115.485926,0,3115.485926,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333,5603.166667,1992,3611.166667,1,34,1,-0.631704313,0.477816788
2017,林芝市,540000,540400,西藏自治区,2017540400,19,117175,1.621506294,65.28,10.1,38.56,59.11,361268,10.82089537,8,1.2065545,65.28,54.10447684,地级市,2254.273869,1,2254.273869,28376,409,4,29,9790,199,2,12,18586,210,2,17,0.833333333,5603.166667,1992,3611.166667,0,91,6,-0.595326258,0.516919102
2017,日喀则市,540000,540200,西藏自治区,2017540200,79,182000,4.340659341,73.1016,10.7,40.63,51.83,973177,5.048922365,8,1.2065545,73.1016,60.58706838,地级市,2594.839177,1,2594.839177,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333,5603.166667,1992,3611.166667,0,51,1,-0.62165008,0.522062765
2017,定西市,620000,621100,甘肃省,2017621100,303,19609,154.5208833,76.7389,4.3,29.63,57.68,1261366,1.353227354,8,1.2065545,76.7389,63.60168563,地级市,8820.820477,1,8820.820477,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,23981.66667,11602.25,12379.41667,1,700,128,-0.170078159,0.457094036
2017,吕梁市,140000,141100,山西省,2017141100,392,21239,184.5661283,81.3938,6.4,28.09,69.47,4615657,2.409274864,8,1.2065545,81.3938,67.45969618,地级市,32597.97995,0,32597.97995,0,0,0,0,0,0,0,0,0,0,0,0,0.545454545,15581.45455,4866.727273,10714.72727,0,138,782,-0.153641565,0.405266364
2017,吐鲁番市,650000,650400,新疆维吾尔自治区,2017650400,64,69759,9.174443441,85.4603,8.27,24.09,51.84,506717,2.442415072,8,1.2065545,85.4603,70.8300371,地级市,14863.08433,1,14863.08433,1317,14,0,17,760,10,0,9,557,4,0,8,1,29908.75,20328.25,9580.5,1,26,0,-0.636969077,0.443472952
2017,临沧市,530000,530900,云南省,2017530900,239,23620,101.1854361,106.5841,10,34.02,50.89,1952842,2.676896246,8,1.2065545,106.5841,88.33757613,地级市,6699.016506,0,6699.016506,0,0,0,0,0,0,0,0,0,0,0,0,0.625,36275.375,25476.875,10798.5,1,166,198,-0.448564143,0.508661751
2017,陇南市,620000,621200,甘肃省,2017621200,287,27900,102.8673835,109.3212,5.9,13.57,71.21,1071177,1.589580735,8,1.2065545,109.3212,90.60610192,地级市,7286.765492,1,7286.765492,24657,1117,3,206,7707,329,2,77,16950,788,1,129,0.666666667,23981.66667,11602.25,12379.41667,1,1429,253,0.32774108,0.506702865
