year,province,iv_Freq_city_nonenvirContent,iv_Freq_city_envirContent,city,province_code,city_code,year_city,population,area,PopulationDensity,gdp,GDP_GrowthRate,Proportion_SecondaryIndustry,Proportion_ThirdIndustry,retailAssumption,gdp_percapita,X,deflator,gdp_nominal,gdp_real,city_type,sum,if_officialWechat,nightLight,clicksCount_city_allContent,likeCount_city_allContent,originalflag_city_allContent,Freq_city_allContent,clicksCount_city_gdpContent,likeCount_city_gdpContent,originalflag_city_gdpContent,Freq_city_gdpContent,Freq_city_nongdpContent,iv_if_officialWechat,iv_Freq_city_gdpContent,iv_Freq_city_nongdpContent,leader_change,clicksCount_city_envirContent,likeCount_city_envirContent,originalflag_city_envirContent,Freq_city_envirContent,satellites02,SatelliteSO2,OfficialSO2,ln_OfficialSO2,ln_SatelliteSo2,ManipulationSO2,ln_ManipulationSO2,Freq_city_nonenvirContent
2011,上海市,0,0,上海市,310000,310000,2011310000,1419.4,6340,2238.801262,19195.69,8.2,41.3,58.05,68148000,12.51327358,2,1.080756826,19195.69,17761.34051,直辖市,341457.0401,0,341457.0401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495318085,72.69334412,210091,12.25529575,4.286249638,2890.099609,7.969046116,0
2011,云南省,0,0,临沧市,530000,530900,2011530900,235.7,24469,96.32596346,272.4334,15.2,38.2,29.57,871018,1.069480279,2,1.080756826,272.4334,252.0765018,地级市,4226.232543,0,4226.232543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039736889,34.01925278,28090,10.24316883,3.526926517,825.7089233,6.716242313,0
2011,云南省,0,0,丽江市,530000,530700,2011530700,121.2,21219,57.1186201,178.5015,16.5,41.68,41.24,556655,1.362734538,2,1.080756826,178.5015,165.1634259,地级市,6623.671457,0,6623.671457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077570207,97.75563812,7151,8.875007629,4.582470894,73.15179443,4.292536736,0
2011,云南省,0,0,保山市,530000,530500,2011530500,254.2,19637,129.4495086,319.6451,13.1,32.11,36.88,1014682,1.163494991,2,1.080756826,319.6451,295.7604267,地级市,4191.73476,0,4191.73476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033700783,17.32888031,14869,9.60703373,2.852374554,858.0473633,6.754659176,0
2011,云南省,0,0,昆明市,530000,530100,2011530100,544,21012,258.8996764,2509.5813,14,46.27,48.4,12717298,4.268491124,2,1.080756826,2509.5813,2322.059172,地级市,63834.83492,0,63834.83492,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.144170851,76.82298279,404340,12.91001129,4.34150362,5263.268555,8.568507195,0
2011,云南省,0,0,昭通市,530000,530600,2011530600,579.3,22657,255.6825705,465.0326,13.7,47.93,32.38,1268288,0.742765774,2,1.080756826,465.0326,430.2842127,地级市,2915.597854,0,2915.597854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335344851,92.00247192,13261,9.492582321,4.5218153,144.1374359,4.970767498,0
2011,云南省,0,0,曲靖市,530000,530300,2011530300,632.3,28904,218.7586493,1209.9332,13.1,53.48,27.86,2807588,1.770558272,2,1.080756826,1209.9332,1119.523995,地级市,14488.47669,0,14488.47669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219420567,159.5458069,217663,12.29070282,5.072330952,1364.266479,7.218372345,0
2011,云南省,0,0,玉溪市,530000,530400,2011530400,231.8,15285,151.6519464,876.5508,12.1,62.96,27.72,1683648,3.498933364,2,1.080756826,876.5508,811.0527539,地级市,13193.4093,0,13193.4093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077610843,39.17884064,11026,9.308011055,3.668136835,281.4274292,5.639874458,0
2011,内蒙古自治区,0,0,乌兰察布市,150000,150900,2011150900,288.8,54492,52.9986053,690.0415,13.1,53.79,30.02,1870220,2.210802945,2,1.080756826,690.0415,638.4798906,地级市,17764.16279,0,17764.16279,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.073587686,0.062065303,80500,11.29601288,-2.779568195,1297021,14.0755806,0
2011,内蒙古自治区,0,0,乌海市,150000,150300,2011150300,54.1,1754,308.4378563,483.2452,15.8,72.83,26.27,861223,8.264989319,2,1.080756826,483.2452,447.1359221,地级市,17937.62759,0,17937.62759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.764832318,7.655635834,116624,11.6667099,2.035442114,15233.74414,9.631268501,0
